file,label,version,source,x,y,width,height,out_width,out_height
"C:\zyz\daoju\sliced\bumianjia_1.0.png","bumianjia",1.0,"C:\zyz\daoju\bumianjia.png",4,177,278,436,276,434
"C:\zyz\daoju\sliced\bumianjia_2.0.png","bumianjia",2.0,"C:\zyz\daoju\bumianjia.png",286,177,278,436,276,434
"C:\zyz\daoju\sliced\bumianjia_3.0.png","bumianjia",3.0,"C:\zyz\daoju\bumianjia.png",563,177,278,439,276,437
"C:\zyz\daoju\sliced\bumianjia_4.0.png","bumianjia",4.0,"C:\zyz\daoju\bumianjia.png",843,177,278,435,276,433
"C:\zyz\daoju\sliced\bumianjia_5.0.png","bumianjia",5.0,"C:\zyz\daoju\bumianjia.png",1130,177,282,439,280,437
"C:\zyz\daoju\sliced\bumianjia_6.0.png","bumianjia",6.0,"C:\zyz\daoju\bumianjia.png",1423,177,282,444,280,442
"C:\zyz\daoju\sliced\bumianjia_7.0.png","bumianjia",7.0,"C:\zyz\daoju\bumianjia.png",1716,177,286,445,284,443
"C:\zyz\daoju\sliced\changdao_1.0.png","changdao",1.0,"C:\zyz\daoju\changdao.png",19,120,365,724,363,722
"C:\zyz\daoju\sliced\changdao_2.0.png","changdao",2.0,"C:\zyz\daoju\changdao.png",234,111,375,731,373,729
"C:\zyz\daoju\sliced\changdao_3.0.png","changdao",3.0,"C:\zyz\daoju\changdao.png",453,109,371,733,369,731
"C:\zyz\daoju\sliced\changdao_4.0.png","changdao",4.0,"C:\zyz\daoju\changdao.png",676,83,366,758,364,756
"C:\zyz\daoju\sliced\changdao_5.0.png","changdao",5.0,"C:\zyz\daoju\changdao.png",904,57,365,787,363,785
"C:\zyz\daoju\sliced\changdao_6.0.png","changdao",6.0,"C:\zyz\daoju\changdao.png",1126,56,374,788,372,786
"C:\zyz\daoju\sliced\changdao_7.0.png","changdao",7.0,"C:\zyz\daoju\changdao.png",1361,33,392,815,390,813
"C:\zyz\daoju\sliced\jian_1.0.png","jian",1.0,"C:\zyz\daoju\jian.png",51,60,371,720,369,718
"C:\zyz\daoju\sliced\jian_2.0.png","jian",2.0,"C:\zyz\daoju\jian.png",269,60,349,723,347,721
"C:\zyz\daoju\sliced\jian_3.0.png","jian",3.0,"C:\zyz\daoju\jian.png",485,60,333,727,331,725
"C:\zyz\daoju\sliced\jian_4.0.png","jian",4.0,"C:\zyz\daoju\jian.png",700,60,329,727,327,725
"C:\zyz\daoju\sliced\jian_5.0.png","jian",5.0,"C:\zyz\daoju\jian.png",922,60,328,780,326,778
"C:\zyz\daoju\sliced\jian_6.0.png","jian",6.0,"C:\zyz\daoju\jian.png",1151,60,324,775,322,773
"C:\zyz\daoju\sliced\jian_7.0.png","jian",7.0,"C:\zyz\daoju\jian.png",1385,60,322,775,320,773
"C:\zyz\daoju\sliced\liuyedao_1.0.png","liuyedao",1.0,"C:\zyz\daoju\liuyedao.png",27,65,296,725,294,723
"C:\zyz\daoju\sliced\liuyedao_2.0.png","liuyedao",2.0,"C:\zyz\daoju\liuyedao.png",264,46,306,745,304,743
"C:\zyz\daoju\sliced\liuyedao_3.0.png","liuyedao",3.0,"C:\zyz\daoju\liuyedao.png",491,33,301,760,299,758
"C:\zyz\daoju\sliced\liuyedao_4.0.png","liuyedao",4.0,"C:\zyz\daoju\liuyedao.png",723,25,297,768,295,766
"C:\zyz\daoju\sliced\liuyedao_5.0.png","liuyedao",5.0,"C:\zyz\daoju\liuyedao.png",949,25,296,774,294,772
"C:\zyz\daoju\sliced\liuyedao_6.0.png","liuyedao",6.0,"C:\zyz\daoju\liuyedao.png",1190,33,317,793,315,791
"C:\zyz\daoju\sliced\liuyedao_7.0.png","liuyedao",7.0,"C:\zyz\daoju\liuyedao.png",1442,37,305,782,303,780
"C:\zyz\daoju\sliced\liuyejia_1.0.png","liuyejia",1.0,"C:\zyz\daoju\liuyejia.png",12,239,266,374,264,372
"C:\zyz\daoju\sliced\liuyejia_2.0.png","liuyejia",2.0,"C:\zyz\daoju\liuyejia.png",287,229,247,387,245,385
"C:\zyz\daoju\sliced\liuyejia_3.0.png","liuyejia",3.0,"C:\zyz\daoju\liuyejia.png",552,234,257,380,255,378
"C:\zyz\daoju\sliced\liuyejia_4.0.png","liuyejia",4.0,"C:\zyz\daoju\liuyejia.png",831,221,256,399,254,397
"C:\zyz\daoju\sliced\liuyejia_5.0.png","liuyejia",5.0,"C:\zyz\daoju\liuyejia.png",1103,221,251,401,249,399
"C:\zyz\daoju\sliced\liuyejia_6.0.png","liuyejia",6.0,"C:\zyz\daoju\liuyejia.png",1366,213,259,411,257,409
"C:\zyz\daoju\sliced\liuyejia_7.0.png","liuyejia",7.0,"C:\zyz\daoju\liuyejia.png",1636,212,272,415,270,413
"C:\zyz\daoju\sliced\yanlingdao_1.0.png","yanlingdao",1.0,"C:\zyz\daoju\yanlingdao.png",21,114,330,637,328,635
"C:\zyz\daoju\sliced\yanlingdao_2.0.png","yanlingdao",2.0,"C:\zyz\daoju\yanlingdao.png",270,119,330,629,328,627
"C:\zyz\daoju\sliced\yanlingdao_3.0.png","yanlingdao",3.0,"C:\zyz\daoju\yanlingdao.png",526,108,334,641,332,639
"C:\zyz\daoju\sliced\yanlingdao_4.0.png","yanlingdao",4.0,"C:\zyz\daoju\yanlingdao.png",804,94,343,654,341,652
"C:\zyz\daoju\sliced\yanlingdao_5.0.png","yanlingdao",5.0,"C:\zyz\daoju\yanlingdao.png",1064,79,347,671,345,669
"C:\zyz\daoju\sliced\yanlingdao_6.0.png","yanlingdao",6.0,"C:\zyz\daoju\yanlingdao.png",1323,66,347,686,345,684
"C:\zyz\daoju\sliced\yanlingdao_7.0.png","yanlingdao",7.0,"C:\zyz\daoju\yanlingdao.png",1603,19,361,741,359,739
