file,label,version,source,x,y,width,height
"C:\ui\sliced\1_001_portrait_frame_1.0.png","portrait_frame",1.0,"C:\ui\p\1.png",28,27,259,312
"C:\ui\sliced\1_002_top_status_bar_1.0.png","top_status_bar",1.0,"C:\ui\p\1.png",299,29,739,219
"C:\ui\sliced\1_003_small_dark_panel_1.0.png","small_dark_panel",1.0,"C:\ui\p\1.png",1138,28,147,80
"C:\ui\sliced\1_004_easel_icon_1.0.png","easel_icon",1.0,"C:\ui\p\1.png",1289,22,62,89
"C:\ui\sliced\1_005_round_coin_1.0.png","round_coin",1.0,"C:\ui\p\1.png",1052,34,66,67
"C:\ui\sliced\1_006_blue_bar_1.0.png","blue_bar",1.0,"C:\ui\p\1.png",1352,62,126,38
"C:\ui\sliced\1_007_info_button_1.0.png","info_button",1.0,"C:\ui\p\1.png",1117,118,170,176
"C:\ui\sliced\1_008_function_button_1.0.png","function_button",1.0,"C:\ui\p\1.png",1318,118,164,176
"C:\ui\sliced\1_009_standing_guard_1.0.png","standing_guard",1.0,"C:\ui\p\1.png",287,297,141,430
"C:\ui\sliced\1_010_red_nameplate_1.0.png","red_nameplate",1.0,"C:\ui\p\1.png",430,270,252,84
"C:\ui\sliced\1_011_corner_frame_parts_1.0.png","corner_frame_parts",1.0,"C:\ui\p\1.png",689,284,83,96
"C:\ui\sliced\1_012_corner_frame_parts_2.0.png","corner_frame_parts",2.0,"C:\ui\p\1.png",720,318,92,297
"C:\ui\sliced\1_013_blank_large_frame_1.0.png","blank_large_frame",1.0,"C:\ui\p\1.png",815,319,212,301
"C:\ui\sliced\1_014_gate_arch_1.0.png","gate_arch",1.0,"C:\ui\p\1.png",1266,315,236,330
"C:\ui\sliced\1_015_left_mission_panel_1.0.png","left_mission_panel",1.0,"C:\ui\p\1.png",27,351,252,501
"C:\ui\sliced\1_016_small_blank_panel_1.0.png","small_blank_panel",1.0,"C:\ui\p\1.png",438,355,230,72
"C:\ui\sliced\1_017_wood_railing_1.0.png","wood_railing",1.0,"C:\ui\p\1.png",1038,344,213,143
"C:\ui\sliced\1_018_corner_frame_parts_3.0.png","corner_frame_parts",3.0,"C:\ui\p\1.png",737,385,20,225
"C:\ui\sliced\1_019_corner_frame_parts_4.0.png","corner_frame_parts",4.0,"C:\ui\p\1.png",766,380,41,236
"C:\ui\sliced\1_020_small_blank_panel_2.0.png","small_blank_panel",2.0,"C:\ui\p\1.png",439,424,229,69
"C:\ui\sliced\1_021_medium_blank_panel_1.0.png","medium_blank_panel",1.0,"C:\ui\p\1.png",438,493,230,73
"C:\ui\sliced\1_022_wood_railing_2.0.png","wood_railing",2.0,"C:\ui\p\1.png",1029,499,250,127
"C:\ui\sliced\1_023_corner_frame_parts_5.0.png","corner_frame_parts",5.0,"C:\ui\p\1.png",689,525,172,121
"C:\ui\sliced\1_024_gold_bottom_button_1.0.png","gold_bottom_button",1.0,"C:\ui\p\1.png",440,575,238,65
"C:\ui\sliced\1_025_card_zizhai_1.0.png","card_zizhai",1.0,"C:\ui\p\1.png",418,661,179,299
"C:\ui\sliced\1_026_card_shuaifu_1.0.png","card_shuaifu",1.0,"C:\ui\p\1.png",596,661,173,299
"C:\ui\sliced\1_027_card_bingzhangju_1.0.png","card_bingzhangju",1.0,"C:\ui\p\1.png",766,661,168,299
"C:\ui\sliced\1_028_card_jianglingfu_1.0.png","card_jianglingfu",1.0,"C:\ui\p\1.png",931,661,186,299
"C:\ui\sliced\1_029_card_lianghang_1.0.png","card_lianghang",1.0,"C:\ui\p\1.png",1114,661,184,298
"C:\ui\sliced\1_030_card_jiusi_1.0.png","card_jiusi",1.0,"C:\ui\p\1.png",1298,661,188,298
"C:\ui\sliced\1_031_large_gold_button_1.0.png","large_gold_button",1.0,"C:\ui\p\1.png",47,852,295,152
"C:\ui\sliced\3_032_card_dangpu_1.0.png","card_dangpu",1.0,"C:\ui\p\3.png",23,70,206,411
"C:\ui\sliced\3_033_card_huozhan_1.0.png","card_huozhan",1.0,"C:\ui\p\3.png",238,70,206,411
"C:\ui\sliced\3_034_card_yicang_1.0.png","card_yicang",1.0,"C:\ui\p\3.png",453,70,205,410
"C:\ui\sliced\3_035_card_shuyuan_1.0.png","card_shuyuan",1.0,"C:\ui\p\3.png",668,70,202,410
"C:\ui\sliced\3_036_card_biaoju_1.0.png","card_biaoju",1.0,"C:\ui\p\3.png",877,70,205,410
"C:\ui\sliced\3_037_card_wuguan_1.0.png","card_wuguan",1.0,"C:\ui\p\3.png",1093,70,203,411
"C:\ui\sliced\3_038_card_gudongdian_1.0.png","card_gudongdian",1.0,"C:\ui\p\3.png",1304,70,204,411
"C:\ui\sliced\3_039_card_qinfang_1.0.png","card_qinfang",1.0,"C:\ui\p\3.png",23,541,202,407
"C:\ui\sliced\3_040_card_huichuntang_1.0.png","card_huichuntang",1.0,"C:\ui\p\3.png",237,541,202,406
"C:\ui\sliced\3_041_card_tiejiangpu_1.0.png","card_tiejiangpu",1.0,"C:\ui\p\3.png",452,541,202,406
"C:\ui\sliced\3_042_card_jinyiweizhihuishisi_1.0.png","card_jinyiweizhihuishisi",1.0,"C:\ui\p\3.png",668,541,199,406
"C:\ui\sliced\3_043_card_mingjiaofentan_1.0.png","card_mingjiaofentan",1.0,"C:\ui\p\3.png",879,543,198,406
"C:\ui\sliced\3_044_card_yuanchaoxingshengyamen_1.0.png","card_yuanchaoxingshengyamen",1.0,"C:\ui\p\3.png",1093,543,198,406
"C:\ui\sliced\3_045_card_hanlinyuan_1.0.png","card_hanlinyuan",1.0,"C:\ui\p\3.png",1303,543,203,406
"C:\ui\sliced\5_046_card_dangpu_2.0.png","card_dangpu",2.0,"C:\ui\p\5.png",14,76,209,428
"C:\ui\sliced\5_047_card_huozhan_2.0.png","card_huozhan",2.0,"C:\ui\p\5.png",235,76,205,428
"C:\ui\sliced\5_048_card_yicang_2.0.png","card_yicang",2.0,"C:\ui\p\5.png",449,76,202,429
"C:\ui\sliced\5_049_card_shuyuan_2.0.png","card_shuyuan",2.0,"C:\ui\p\5.png",668,76,201,429
"C:\ui\sliced\5_050_card_biaoju_2.0.png","card_biaoju",2.0,"C:\ui\p\5.png",881,76,203,429
"C:\ui\sliced\5_051_card_wuguan_2.0.png","card_wuguan",2.0,"C:\ui\p\5.png",1100,76,199,429
"C:\ui\sliced\5_052_card_gudongdian_2.0.png","card_gudongdian",2.0,"C:\ui\p\5.png",1313,76,206,429
"C:\ui\sliced\5_053_card_qinfang_2.0.png","card_qinfang",2.0,"C:\ui\p\5.png",15,528,207,428
"C:\ui\sliced\5_054_card_huichuntang_2.0.png","card_huichuntang",2.0,"C:\ui\p\5.png",235,528,205,428
"C:\ui\sliced\5_055_card_tiejiangpu_2.0.png","card_tiejiangpu",2.0,"C:\ui\p\5.png",450,528,201,428
"C:\ui\sliced\5_056_card_jinyiweizhihuishisi_2.0.png","card_jinyiweizhihuishisi",2.0,"C:\ui\p\5.png",667,528,203,428
"C:\ui\sliced\5_057_card_mingjiaofentan_2.0.png","card_mingjiaofentan",2.0,"C:\ui\p\5.png",883,528,202,428
"C:\ui\sliced\5_058_card_yuanchaoxingshengyamen_2.0.png","card_yuanchaoxingshengyamen",2.0,"C:\ui\p\5.png",1099,528,199,428
"C:\ui\sliced\5_059_card_hanlinyuan_2.0.png","card_hanlinyuan",2.0,"C:\ui\p\5.png",1313,527,203,428
"C:\ui\sliced\6_060_card_shuaifu_2.0.png","card_shuaifu",2.0,"C:\ui\p\6.png",18,300,211,437
"C:\ui\sliced\6_061_card_fengtiandian_1.0.png","card_fengtiandian",1.0,"C:\ui\p\6.png",235,300,211,437
"C:\ui\sliced\6_062_card_jianglingfu_2.0.png","card_jianglingfu",2.0,"C:\ui\p\6.png",453,300,210,437
"C:\ui\sliced\6_063_card_zizhai_2.0.png","card_zizhai",2.0,"C:\ui\p\6.png",668,300,209,437
"C:\ui\sliced\6_064_card_lianghang_2.0.png","card_lianghang",2.0,"C:\ui\p\6.png",883,300,207,437
"C:\ui\sliced\6_065_card_bingzhangju_2.0.png","card_bingzhangju",2.0,"C:\ui\p\6.png",1096,300,209,437
"C:\ui\sliced\6_066_card_jiusi_2.0.png","card_jiusi",2.0,"C:\ui\p\6.png",1311,300,208,437
